dataset,run,seed,checkpoint,epoch,readout,eta,samples,nonzero_samples,acc7,mae,acc2non0,f1non0
CMU-MOSEI,full,40,best_acc7_model,6,expected,0.0,4659,3634,55.33376261000215,0.4990923233593315,87.01155751238305,86.09288447817345
CMU-MOSEI,full,40,best_acc7_model,6,expected,0.2,4659,3634,55.61279244473063,0.49443933261783496,86.76389653274629,85.84690564163826
CMU-MOSEI,full,40,best_acc7_model,6,expected,0.4,4659,3634,55.89182227945911,0.4918382965738622,86.98403962575674,86.10300442300831
CMU-MOSEI,full,40,best_acc7_model,6,expected,0.6,4659,3634,56.36402661515346,0.4907002959270582,87.2317006053935,86.39737023913283
CMU-MOSEI,full,40,best_acc7_model,6,expected,0.8,4659,3634,56.32109894827216,0.4912381232260127,87.09411117226198,86.29597404546996
CMU-MOSEI,full,40,best_acc7_model,6,expected,0.9,4659,3634,56.192315947628245,0.49214152219179,87.01155751238305,86.23336805928989
CMU-MOSEI,full,40,best_acc7_model,6,expected,1.0,4659,3634,56.12792444730629,0.4935325754975912,86.98403962575674,86.23259382843065
CMU-MOSEI,full,40,best_mae_model,6,expected,0.0,4659,3634,55.33376261000215,0.4990923233593315,87.01155751238305,86.09288447817345
CMU-MOSEI,full,40,best_mae_model,6,expected,0.2,4659,3634,55.61279244473063,0.49443933261783496,86.76389653274629,85.84690564163826
CMU-MOSEI,full,40,best_mae_model,6,expected,0.4,4659,3634,55.89182227945911,0.4918382965738622,86.98403962575674,86.10300442300831
CMU-MOSEI,full,40,best_mae_model,6,expected,0.6,4659,3634,56.36402661515346,0.4907002959270582,87.2317006053935,86.39737023913283
CMU-MOSEI,full,40,best_mae_model,6,expected,0.8,4659,3634,56.32109894827216,0.4912381232260127,87.09411117226198,86.29597404546996
CMU-MOSEI,full,40,best_mae_model,6,expected,0.9,4659,3634,56.192315947628245,0.49214152219179,87.01155751238305,86.23336805928989
CMU-MOSEI,full,40,best_mae_model,6,expected,1.0,4659,3634,56.12792444730629,0.4935325754975912,86.98403962575674,86.23259382843065
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,0.0,4659,3634,54.60399227301996,0.5011076310449217,87.25921849201981,86.22665763256194
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,0.2,4659,3634,55.569864777849325,0.4967984101841045,87.14914694551459,86.16111811721574
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,0.4,4659,3634,55.7630392788152,0.49393165865643923,87.28673637864613,86.36258187772926
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,0.6,4659,3634,55.99914144666237,0.49255414885675874,87.45184369840396,86.58452192244607
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,0.8,4659,3634,56.428418115475424,0.4926996335510067,87.47936158503028,86.64758937172437
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,0.9,4659,3634,56.406954282034775,0.49332743799160983,87.5894331315355,86.78039693476762
CMU-MOSEI,standard_context,40,best_acc7_model,4,expected,1.0,4659,3634,56.44988194891608,0.4944347023552539,87.50687947165657,86.7059050665367
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,0.0,4659,3634,54.60399227301996,0.5011076310449217,87.25921849201981,86.22665763256194
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,0.2,4659,3634,55.569864777849325,0.4967984101841045,87.14914694551459,86.16111811721574
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,0.4,4659,3634,55.7630392788152,0.49393165865643923,87.28673637864613,86.36258187772926
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,0.6,4659,3634,55.99914144666237,0.49255414885675874,87.45184369840396,86.58452192244607
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,0.8,4659,3634,56.428418115475424,0.4926996335510067,87.47936158503028,86.64758937172437
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,0.9,4659,3634,56.406954282034775,0.49332743799160983,87.5894331315355,86.78039693476762
CMU-MOSEI,standard_context,40,best_mae_model,4,expected,1.0,4659,3634,56.44988194891608,0.4944347023552539,87.50687947165657,86.7059050665367
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,0.0,4659,3634,54.71131144022323,0.5032207640883418,86.92900385250412,85.97236731488039
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,0.2,4659,3634,55.355226443442795,0.497397009314938,87.03907539900936,86.11603013533353
CMU-MOSEI,equal_weight,40,best_acc7_model,6,expected,0.4,4659,3634,55.720111611933895,0.4935271846293207,87.06659328563566,86.16434552213683
